Sportsref,Yahoo,Long_Name,Short_Name
ARI,ARI,Arizona Cardinals,ARI
ATL,ATL,Atlanta Falcons,ATL
BAL,BAL,Baltimore Ravens,BAL
BUF,BUF,Buffalo Bills,BUF
CAR,CAR,Carolina Panthers,CAR
CHI,CHI,Chicago Bears,CHI
CIN,CIN,Cincinnati Bengals,CIN
CLE,CLE,Cleveland Browns,CLE
DAL,DAL,Dallas Cowboys,DAL
DEN,DEN,Denver Broncos,DEN
DET,DET,Detroit Lions,DET
GNB,GB,Green Bay Packers,GB
HOU,HOU,Houston Texans,HOU
IND,IND,Indianapolis Colts,IND
JAX,JAC,Jacksonville Jaguars,JAC
KAN,KC,Kansas City Chiefs,KC
LVR,LV,Las Vegas Raiders,LV
LAC,LAC,Los Angeles Chargers,LAC
LAR,LA,Los Angeles Rams,LAR
MIA,MIA,Miami Dolphins,MIA
MIN,MIN,Minnesota Vikings,MIN
NWE,NE,New England Patriots,NE
NOR,NO,New Orleans Saints,NO
NYG,NYG,New York Giants,NYG
NYJ,NYJ,New York Jets,NYJ
PHI,PHI,Philadelphia Eagles,PHI
PIT,PIT,Pittsburgh Steelers,PIT
SFO,SF,San Francisco 49ers,SF
SEA,SEA,Seattle Seahawks,SEA
TAM,TB,Tampa Bay Buccaneers,TB
TEN,TEN,Tennessee Titans,TEN
WAS,WAS,Washington Commanders,WAS
NA,GNB,Green Bay Packers,GB
NA,JAX,Jacksonville Jaguars,JAC
NA,KAN,Kansas City Chiefs,KC
NA,LVR,Las Vegas Raiders,LV
NA,LAR,Los Angeles Rams,LAR
NA,NWE,New England Patriots,NE
NA,NOR,New Orleans Saints,NO
NA,SFO,San Francisco 49ers,SF
NA,TAM,Tampa Bay Buccaneers,TB
2TM,2TM,2Teams,2TM
3TM,3TM,3Teams,3TM
