player,team,pos
Aaron Rodgers,GB,QB
Matt Ryan,IND,QB
Matthew Slater,NE,WR
Colt McCoy,ARI,QB
Andy Dalton,NO,QB
Matthew Stafford,LAR,QB
A J Green,ARI,WR
Ryan Tannehill,TEN,QB
Kirk Cousins,MIN,QB
Russell Wilson,DEN,QB
Travis Kelce,KC,TE
Ryan Griffin,CHI,TE
Latavius Murray,DEN,RB
Brandon Bolden,LV,RB
Adam Thielen,MIN,WR
Taysom Hill,NO,TE
Randall Cobb,GB,WR
Cordarrelle Patterson,ATL,RB
Derek Carr,LV,QB
Kyle Juszczyk,SF,RB
Logan Thomas,WAS,TE
Jimmy Garoppolo,SF,QB
David Johnson,NO,RB
Michael Burton,KC,RB
MyCole Pruitt,ATL,TE
Robert Woods,TEN,WR
Jordan Akins,HOU,TE
Keenan Allen,LAC,WR
Jerick McKinnon,KC,RB
DeAndre Hopkins,ARI,WR
Jarvis Landry,NO,WR
Jacoby Brissett,CLE,QB
Davante Adams,LV,WR
Tyler Higbee,LAR,TE
Phillip Dorsett,HOU,WR
C J Uzomah,NYJ,TE
DeVante Parker,NE,WR
Damiere Byrd,ATL,WR
Stephen Anderson,ARI,TE
Mike Davis,BAL,RB
Taylor Heinicke,WAS,QB
DeAndre Carter,LAC,WR
Melvin Gordon,DEN,RB
Keelan Cole,LV,WR
Nelson Agholor,NE,WR
Ameer Abdullah,LV,RB
Chris Moore,HOU,WR
Sammy Watkins,GB,WR
Dak Prescott,DAL,QB
Hayden Hurst,CIN,TE
Allen Robinson,LAR,WR
Mack Hollins,LV,WR
Mo Alie Cox,IND,TE
Geoff Swaim,TEN,TE
Brandin Cooks,HOU,WR
George Kittle,SF,TE
Marcus Mariota,ATL,QB
Kenny Golladay,NYG,WR
Cooper Rush,DAL,QB
Stefon Diggs,BUF,WR
C J Board,TEN,WR
Derrick Henry,TEN,RB
Kenyan Drake,BAL,RB
Justin Hardee,NYJ,WR
Maxx Williams,ARI,TE
Trent Taylor,CIN,WR
Eric Saubert,DEN,TE
Robert Tonyan,GB,TE
Pharaoh Brown,CLE,TE
Dare Ogunbowale,HOU,RB
Patrick Ricard,BAL,RB
Amari Cooper,CLE,WR
Kalif Raymond,DET,WR
Mike Thomas,CIN,WR
Demarcus Robinson,BAL,WR
Mike Williams,LAC,WR
Marquez Valdes Scantling,KC,WR
